epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2526.75,1.74335,1.30386,1.14146,0.71515,0.69488,0.71392,0.40836,1.47777,1.69074,1.02984,0.000665394,0.000665394,0.000665394
2,5227.05,1.54472,0.84836,1.05836,0.76851,0.75419,0.77138,0.46062,1.38726,4.94764,1.00646,0.00127931,0.00127931,0.00127931
3,7961.38,1.51612,0.81465,1.04922,0.77346,0.73611,0.76223,0.45441,1.39184,1.76278,1.00516,0.00184043,0.00184043,0.00184043
4,11318.3,1.49068,0.78396,1.03878,0.79517,0.77013,0.7913,0.48019,1.35397,1.02723,0.99863,0.0017624,0.0017624,0.0017624
5,14302.9,1.46612,0.76283,1.02952,0.79669,0.76989,0.79358,0.48194,1.34279,0.92363,0.98908,0.0016832,0.0016832,0.0016832
6,16986.9,1.45946,0.75216,1.0275,0.80156,0.78492,0.79997,0.49782,1.33199,0.85535,0.98389,0.001604,0.001604,0.001604
7,19654.1,1.44536,0.73672,1.02282,0.80188,0.78692,0.80308,0.49839,1.31674,2.88933,0.98032,0.0015248,0.0015248,0.0015248
8,22333.6,1.43214,0.72911,1.01918,0.80947,0.78269,0.80767,0.50143,1.31546,2.26928,0.97724,0.0014456,0.0014456,0.0014456
9,25001.6,1.42622,0.71468,1.01529,0.81142,0.79642,0.81274,0.50794,1.30195,0.8394,0.97483,0.0013664,0.0013664,0.0013664
10,27684.2,1.41699,0.70931,1.01103,0.80709,0.78081,0.80791,0.50364,1.30726,1.39181,0.97397,0.0012872,0.0012872,0.0012872
11,30352.1,1.41222,0.70117,1.01109,0.81799,0.80251,0.82145,0.51729,1.29486,0.81687,0.96936,0.001208,0.001208,0.001208
12,3966.17,1.408,0.69827,1.01351,0.81568,0.80853,0.8203,0.51589,1.29505,0.86762,0.97325,0.0011288,0.0011288,0.0011288
13,8736.8,1.40024,0.69078,1.01041,0.82031,0.79813,0.81816,0.51394,1.29236,1.2705,0.96898,0.0010496,0.0010496,0.0010496
14,12649.8,1.39445,0.68179,1.00569,0.82403,0.80746,0.82502,0.52188,1.2825,0.86761,0.9665,0.0009704,0.0009704,0.0009704
15,18350.6,1.39407,0.68014,1.00514,0.82333,0.80986,0.82857,0.52522,1.27974,0.77497,0.96366,0.0008912,0.0008912,0.0008912
16,23193.2,1.37302,0.6697,1.02135,0.82405,0.80948,0.82683,0.52136,1.28692,2.48538,0.96807,0.000812,0.000812,0.000812
17,27107.2,1.36303,0.66094,1.01687,0.82638,0.81428,0.83099,0.5264,1.27635,0.84246,0.96262,0.0007328,0.0007328,0.0007328
18,30532.5,1.35844,0.65456,1.01565,0.82668,0.80982,0.83595,0.53147,1.26988,1.00549,0.96084,0.0006536,0.0006536,0.0006536
19,33757,1.354,0.64835,1.01403,0.82707,0.81908,0.83668,0.53289,1.26753,0.81526,0.96219,0.0005744,0.0005744,0.0005744
20,37176.8,1.35046,0.64263,1.01353,0.82817,0.82049,0.83671,0.53451,1.2649,0.78116,0.9591,0.0004952,0.0004952,0.0004952
21,40576.1,1.344,0.63764,1.0108,0.83085,0.81834,0.83664,0.53566,1.26157,0.77606,0.95892,0.000416,0.000416,0.000416
22,43978.5,1.34134,0.63285,1.00724,0.83242,0.82069,0.84175,0.53908,1.25848,0.78711,0.95576,0.0003368,0.0003368,0.0003368
23,47405.5,1.33641,0.62826,1.00708,0.83256,0.82196,0.84286,0.53904,1.2586,0.761,0.95616,0.0002576,0.0002576,0.0002576
24,50815.8,1.33165,0.62232,1.00511,0.83571,0.82353,0.84523,0.54241,1.25571,0.75821,0.95502,0.0001784,0.0001784,0.0001784
25,54203.3,1.32888,0.61949,1.00517,0.83747,0.81842,0.84391,0.54228,1.25364,0.76378,0.95454,9.92e-05,9.92e-05,9.92e-05
