epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2679.46,1.74335,1.30386,1.14146,0.71515,0.69488,0.71392,0.40836,1.47777,1.69074,1.02984,0.000665394,0.000665394,0.000665394
2,5379.26,1.54407,0.84757,1.058,0.7623,0.75158,0.7676,0.45532,1.39788,2.67377,1.00719,0.00126612,0.00126612,0.00126612
3,8050.39,1.51572,0.81499,1.04864,0.7715,0.73442,0.76054,0.45706,1.38823,2.71247,1.00533,0.00180085,0.00180085,0.00180085
4,10663.8,1.4903,0.78176,1.03851,0.78611,0.76488,0.78343,0.47499,1.36288,1.00413,1.00167,0.001703,0.001703,0.001703
5,13334.3,1.46436,0.76094,1.02922,0.79773,0.76888,0.79086,0.48296,1.34669,4.41136,0.99222,0.001604,0.001604,0.001604
6,16274.9,1.45838,0.75074,1.02716,0.80518,0.78281,0.79992,0.49732,1.33153,0.86542,0.98327,0.001505,0.001505,0.001505
7,19138.6,1.44182,0.73401,1.02093,0.80195,0.78881,0.80336,0.49743,1.31826,1.00729,0.97969,0.001406,0.001406,0.001406
8,22091.8,1.4292,0.72645,1.01807,0.80631,0.77653,0.80466,0.50085,1.31109,1.76067,0.97399,0.001307,0.001307,0.001307
9,25465.3,1.4236,0.71196,1.01447,0.81238,0.79702,0.81151,0.50796,1.30139,0.82897,0.97395,0.001208,0.001208,0.001208
10,28170,1.41435,0.70688,1.00979,0.81198,0.79054,0.81503,0.51128,1.29274,0.82749,0.96669,0.001109,0.001109,0.001109
11,30503.4,1.38951,0.69412,1.02772,0.81769,0.80135,0.81928,0.51203,1.30011,0.84031,0.97475,0.00101,0.00101,0.00101
12,32876.9,1.38197,0.68321,1.02464,0.8165,0.79965,0.82115,0.51681,1.29095,1.016,0.96622,0.000911,0.000911,0.000911
13,35135.3,1.37754,0.67443,1.01971,0.82636,0.8078,0.82536,0.52128,1.28282,0.88546,0.96352,0.000812,0.000812,0.000812
14,37445.4,1.36937,0.66607,1.01657,0.82507,0.80666,0.82885,0.52522,1.27734,0.81387,0.96217,0.000713,0.000713,0.000713
15,40909.2,1.36334,0.65982,1.01545,0.8285,0.81043,0.82858,0.5265,1.2722,0.79409,0.95977,0.000614,0.000614,0.000614
16,43215.5,1.35925,0.65287,1.01292,0.82709,0.81338,0.83223,0.52791,1.27657,0.77472,0.96153,0.000515,0.000515,0.000515
17,45544.3,1.35355,0.64687,1.01132,0.828,0.81548,0.83421,0.52834,1.27146,0.79028,0.95852,0.000416,0.000416,0.000416
18,48001.3,1.34814,0.63955,1.00897,0.8293,0.81762,0.83494,0.53502,1.26063,0.76776,0.95516,0.000317,0.000317,0.000317
19,51304.1,1.34123,0.63328,1.00646,0.83366,0.81926,0.83835,0.53653,1.25945,0.78282,0.9552,0.000218,0.000218,0.000218
20,54882.6,1.33663,0.62686,1.00481,0.83649,0.8186,0.84047,0.53858,1.25732,0.76028,0.95333,0.000119,0.000119,0.000119
