epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2212.04,1.69162,1.26484,1.15188,0.73607,0.70352,0.73373,0.42756,1.42317,1.21036,1.01163,0.000665394,0.000665394,0.000665394
2,4440.45,1.51458,0.84323,1.07987,0.77831,0.75211,0.77022,0.45648,1.40462,2.27241,1.00953,0.00120019,0.00120019,0.00120019
3,6618.95,1.48544,0.80054,1.066,0.78631,0.74354,0.76728,0.45522,1.40152,1.01817,1.0152,0.00160298,0.00160298,0.00160298
4,8823.83,1.45855,0.76862,1.05427,0.79346,0.77365,0.79116,0.4849,1.33916,3.28091,0.99327,0.001406,0.001406,0.001406
5,11039.4,1.43853,0.74604,1.04593,0.80263,0.78245,0.80048,0.49356,1.33004,1.47529,0.98703,0.001208,0.001208,0.001208
6,13226.7,1.41983,0.7243,1.03848,0.80014,0.77993,0.79942,0.49486,1.32424,0.93334,0.9827,0.00101,0.00101,0.00101
7,15435.2,1.40594,0.70561,1.03251,0.8118,0.7932,0.8134,0.50895,1.3085,0.81931,0.97149,0.000812,0.000812,0.000812
8,17649.4,1.39055,0.69092,1.02568,0.81466,0.79842,0.81605,0.51181,1.30218,0.82187,0.97192,0.000614,0.000614,0.000614
9,19849.9,1.37878,0.67649,1.02097,0.82189,0.80405,0.82402,0.51866,1.29334,0.83291,0.96697,0.000416,0.000416,0.000416
10,22046.7,1.36864,0.66337,1.01597,0.82086,0.80923,0.82742,0.52453,1.28024,0.80224,0.96306,0.000218,0.000218,0.000218
